node_line_name,node_type,best_module_filename,best_module_name,best_module_params,best_execution_time
pre_retrieve_node_line,query_expansion,9.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 0.9}",0.1451386583262476
retrieve_node_line,retrieval,1.parquet,bm25,{'top_k': 4},0.0009810349036907
retrieve_node_line,passage_reranker,1.parquet,koreranker,{'top_k': 3},1.5990492804297085
post_retrieve_node_line,prompt_maker,0.parquet,fstring,{'prompt': '주어진 단락만을 이용하여 질문에 따라 답하시오. 단락: {retrieved_contents} \n\n 질문: {query} \n\n 답변:'},3.0418922161233837e-05
post_retrieve_node_line,generator,4.parquet,openai_llm,"{'llm': 'gpt-4o-mini', 'temperature': 0.5, 'batch': 2}",1.4194547883395492
